emails,rating,height,bmi,yrs_education,age,days_active
19,0.3871149,71.5,25.43987,16,3,108
9,-0.2965873,69.5,24.01428,18,1,89
0,-0.566621,73.5,30.58078,8,2,13
10,0.1038448,73.5,24.07423,16,2,91
7,0.2119329,71.5,26.815,18,1,108
43,-0.444371,73.5,25.37554,18,3,83
27,-0.2049429,71.5,25.43987,18,2,108
5,0.0747973,69.5,26.92511,12.5,2,98
6,0.141221,71.5,33.69064,16,2,88
6,0.0891404,71.5,24.06475,16,1,108
28,0.8936503,71.5,25.43987,18,1,108
1,-0.2405199,67.5,28.54431,12.5,2,72
12,0.001717,71.5,25.43987,16,1,108
1,-0.4756387,69.5,24.01428,18,2,108
0,0.4697502,67.5,22.37256,18,2,34
3,0.9300914,73.5,22.77292,21,1,79
3,-0.9638757,73.5,25.37554,16,3,74
1,-0.4179181,63.5,25.27993,16,1,69
9,-0.7707377,75.5,27.74878,12.5,3,93
2,-1.319104,67.5,25.45844,12.5,3,57
11,0.8050577,73.5,25.37554,14.5,2,108
4,-0.3453138,71.5,25.43987,18,2,51
8,0.4589353,69.5,26.92511,18,1,108
12,0.447752,75.5,25.28222,16,1,66
11,-0.2651347,73.5,29.27947,21,3,108
2,-0.6841125,69.5,29.83593,8,1,21
64,0.7459951,69.5,28.38052,16,1,108
3,0.6581271,71.5,25.43987,18,2,46
3,0.2049021,71.5,26.815,16,1,108
21,0.2356728,71.5,24.06475,18,3,79
0,-0.1956256,71.5,25.43987,12,1,15
1,-0.9802296,71.5,21.31449,18,3,108
5,-0.3280038,67.5,27.00137,18,2,108
5,0.1157381,67.5,23.9155,18,2,108
2,-0.509544,73.5,29.27947,18,2,108
36,0.1364983,69.5,26.92511,17.5,2,108
2,0.2297291,71.5,21.31449,21,1,108
8,-0.3651111,73.5,27.97816,16,3,35
0,-0.6703507,71.5,29.56526,12,1,60
9,0.8844101,73.5,25.37554,16,3,108
9,-0.2760695,71.5,28.19013,16,2,108
7,-0.2119439,71.5,22.68962,12,3,82
67,0.0053734,73.5,24.07423,18,3,108
0,-0.4516442,65.5,27.03689,16,2,8
10,1.076263,71.5,21.31449,16,1,91
0,-0.1289197,69.5,28.38052,12.5,1,22
4,-0.4327278,73.5,25.37554,16,3,108
28,-0.0029959,77.5,25.16462,17,3,42
7,0.0254739,71.5,24.06475,16,3,108
15,-0.0227853,73.5,27.97816,18,2,40
4,0.3867603,69.5,25.4697,12,3,108
6,-0.8990721,69.5,25.4697,14,2,108
3,-0.3583254,69.5,26.92511,18,2,19
6,0.5404152,71.5,24.06475,21,3,108
3,-0.2185951,71.5,28.19013,16,3,108
15,-0.1284558,69.5,28.38052,16,2,108
3,-0.3552075,67.5,27.00137,16,3,108
0,0.0802873,65.5,27.03689,14,1,108
3,0.0190353,69.5,26.92511,16,2,108
41,0.094145,75.5,25.28222,16,1,108
8,-0.1747577,69.5,31.29134,12.5,2,39
4,-0.4705191,71.5,25.43987,12.5,2,108
1,0.1098796,71.5,25.43987,14,1,64
0,0.1449629,77.5,22.82372,18,3,10
4,0.2991346,71.5,22.68962,18,1,108
20,0.7070016,67.5,25.45844,16,1,108
4,-0.7494901,71.5,30.94039,18,2,108
2,-0.7116664,69.5,25.4697,16,3,77
1,-0.8687952,73.5,33.1834,17,1,108
0,-0.4512591,71.5,24.06475,18,1,88
4,0.239197,71.5,24.06475,16,3,36
9,-0.0405674,71.5,24.06475,16,3,80
3,-0.7139699,73.5,29.27947,16,1,108
2,-0.7668747,69.5,34.20216,16,2,67
4,0.0903382,69.5,25.4697,18,3,108
10,-0.1430555,71.5,24.06475,16,1,31
5,-0.8804188,75.5,30.21534,16,1,75
8,-0.7117165,67.5,27.00137,12.5,1,108
5,-0.128859,73.5,24.07423,16,2,57
28,0.4302871,69.5,29.83593,12.5,3,51
2,0.5545967,71.5,22.68962,16,3,35
1,-0.5931548,67.5,28.54431,14,3,90
3,-0.6465531,67.5,23.9155,16,2,70
4,0.8283538,75.5,24.04894,16,1,105
0,-0.0448445,75.5,22.81567,16,2,108
3,0.4640782,73.5,27.97816,16,1,108
2,-0.5641199,69.5,29.83593,12.5,2,108
4,0.0002727,71.5,25.43987,21,1,62
35,0.519756,73.5,24.07423,14,3,108
24,0.1205389,71.5,25.43987,16,2,88
11,-0.1287531,73.5,26.67685,18,3,108
24,0.4525216,69.5,24.01428,21,3,108
0,-0.7511573,67.5,22.37256,12.5,3,108
2,0.7580524,73.5,29.27947,16,1,108
1,-0.6050009,65.5,27.03689,16,2,108
1,0.0898229,71.5,30.94039,14.5,1,51
12,0.2780925,69.5,24.01428,12.5,2,108
1,0.0257528,73.5,25.37554,21,3,108
2,-0.1095664,69.5,24.01428,12.5,1,108
4,-0.1301122,71.5,22.68962,12.5,2,41
17,0.8336688,73.5,24.07423,18,1,19
15,0.1475971,73.5,22.77292,13,1,48
1,-0.5918909,67.5,33.17311,17,1,96
16,0.802447,69.5,22.55887,8,3,17
0,0.8298264,69.5,22.55887,8,3,108
0,-0.4900871,67.5,28.54431,18,1,47
5,-0.6784584,75.5,21.58239,16,3,48
4,0.3497799,71.5,25.43987,16,2,80
37,0.3524031,71.5,25.43987,16,1,48
0,-0.6148258,73.5,26.67685,16,3,38
10,-0.344395,75.5,24.04894,16,3,105
0,-0.2057152,73.5,24.07423,17.5,3,46
14,-0.2504948,67.5,22.37256,16,2,108
2,-0.3316428,71.5,22.68962,12,2,70
3,-0.4177354,69.5,25.4697,16,2,81
16,-0.0320777,71.5,30.94039,18,3,108
0,-1.126053,71.5,21.31449,18,2,60
2,-0.3611249,69.5,24.01428,16,2,38
4,-0.6074613,73.5,24.07423,18,3,108
28,1.136228,71.5,22.68962,16,2,108
2,-0.2042808,71.5,22.68962,16,2,24
19,0.2685993,65.5,22.12109,21,1,90
0,-0.4525233,71.5,29.56526,8,3,77
5,-0.8391539,65.5,25.39829,16,1,108
31,0.5251511,71.5,22.68962,18,1,108
0,-0.0561725,71.5,22.68962,16,1,108
17,-0.2027684,73.5,24.07423,12.5,3,108
3,-0.4905322,71.5,22.68962,18,3,108
2,0.4913114,73.5,25.37554,12.5,2,90
24,0.147709,73.5,25.37554,12.5,2,69
9,-0.5408661,73.5,25.37554,16,3,108
6,-0.5835536,67.5,28.54431,14,3,94
0,-0.723169,73.5,31.88209,12,2,25
14,-0.4708219,73.5,26.67685,16,1,72
0,-0.3825354,67.5,31.63018,12.5,2,4
0,0.4694014,71.5,26.815,16,1,88
2,-0.4886838,69.5,22.55887,16,3,74
0,-0.5189177,73.5,33.1834,17.5,1,25
2,0.2432398,69.5,24.01428,18,1,108
30,0.4541441,67.5,30.08724,16,1,108
5,-0.1697812,69.5,29.83593,18,1,108
3,0.441295,75.5,24.04894,21,2,108
10,-0.4271557,73.5,30.58078,16,3,108
5,-0.4402283,69.5,31.29134,16,3,67
12,-0.5081668,73.5,29.27947,16,3,18
4,0.098271,69.5,24.01428,16,2,37
7,-0.452408,71.5,25.43987,15,1,50
25,0.9727544,71.5,22.68962,21,2,16
10,-0.1067023,71.5,22.68962,16,3,108
0,-0.8809581,69.5,35.65757,12.5,1,108
1,-0.3981771,69.5,25.4697,16,2,81
0,-0.3026349,71.5,25.43987,12,1,73
19,0.3683619,69.5,26.92511,16,3,108
1,-0.2967186,71.5,25.43987,12.5,2,108
19,0.0763438,69.5,24.01428,18,1,108
24,0.1397654,69.5,28.38052,12.5,3,108
9,-0.3698701,71.5,24.06475,12.5,2,108
3,-0.7875452,71.5,25.43987,12.5,3,108
1,-0.3861317,71.5,29.56526,16,3,71
4,0.174157,71.5,25.43987,18,1,45
15,-0.0707247,71.5,26.815,18,1,108
10,-0.0136444,69.5,28.38052,16,1,108
7,0.2037339,71.5,26.815,18,1,46
14,-0.0205563,69.5,25.4697,16,3,63
2,0.261262,71.5,24.06475,16,2,61
12,-0.1238088,69.5,25.4697,16,1,76
9,-0.5845826,71.5,30.94039,16,2,108
2,-0.2690288,67.5,28.54431,16,1,40
4,1.037536,71.5,24.06475,16,1,9
1,-0.5193588,65.5,31.95268,18,1,42
6,-0.2371694,69.5,24.01428,16,2,108
2,-0.4460636,71.5,30.94039,16,1,108
2,0.3318743,69.5,26.92511,16,3,108
7,-0.1844549,69.5,24.01428,12.5,1,108
3,-0.1901846,65.5,25.39829,16,3,55
2,-0.1047296,73.5,27.97816,12.5,1,15
5,0.165499,69.5,28.38052,14,2,53
7,-0.572224,69.5,32.74675,16,2,73
0,-0.2360619,67.5,28.54431,16,1,3
1,-1.081737,73.5,22.77292,12.5,1,108
0,-1.294079,71.5,26.815,16,2,108
4,-0.2139091,71.5,25.43987,16,1,61
0,-1.096639,67.5,25.45844,16,1,108
1,-0.7553042,69.5,25.4697,16,1,108
0,0.910746,69.5,28.38052,14,3,45
3,-0.0188091,69.5,29.83593,16,1,11
2,-0.0092156,71.5,18.56423,12.5,1,108
9,0.1621522,71.5,24.06475,18,2,108
5,0.0962169,69.5,25.4697,16,1,24
3,-0.391054,75.5,25.28222,21,3,30
3,0.7783708,69.5,21.10346,18,1,33
14,-0.586158,71.5,28.19013,16,3,108
7,0.0672699,71.5,25.43987,16,1,102
4,-0.5028696,69.5,29.83593,12.5,3,78
13,-0.3018392,73.5,24.07423,16,2,108
8,-0.1206713,69.5,24.01428,12.5,3,108
1,-0.5302756,71.5,28.19013,16,3,89
13,0.0514145,71.5,26.815,17,2,108
1,0.0921713,73.5,20.1703,18,1,108
3,0.1938999,73.5,22.77292,18,2,77
10,-0.2621771,71.5,26.815,13,3,55
14,-0.2784457,77.5,26.33507,16,3,39
21,-0.0996814,73.5,25.37554,16,2,92
3,-0.1623819,73.5,24.07423,8,1,108
0,-0.9299355,73.5,21.47161,17.5,1,42
15,-0.552276,75.5,25.28222,12.5,3,103
13,0.7610345,69.5,24.01428,16,3,108
1,-0.7796672,69.5,31.29134,17.5,3,50
13,-0.6973131,73.5,22.77292,8,3,44
0,-0.197626,71.5,24.06475,16,1,51
1,-0.1151989,73.5,29.27947,12.5,1,63
3,-0.6763679,67.5,22.37256,12.5,2,57
14,-0.5442741,77.5,26.33507,12.5,3,26
0,0.220095,73.5,25.37554,18,2,64
13,-0.4751396,71.5,25.43987,21,3,84
15,0.2752736,65.5,27.03689,12.5,3,108
11,-0.2477562,65.5,23.75969,21,1,48
2,0.0556507,65.5,23.75969,21,1,108
5,0.7727512,67.5,25.45844,12.5,1,68
2,-0.8333466,71.5,22.68962,16,3,31
18,-0.2934602,71.5,25.43987,14,3,62
29,0.471937,69.5,22.55887,12.5,1,86
0,-0.1391798,69.5,22.55887,8,1,108
6,-0.2268679,71.5,28.19013,18,2,36
3,-0.8018538,73.5,26.67685,18,3,108
11,0.3373008,67.5,25.45844,14.5,2,90
18,0.1928047,71.5,24.06475,18,3,108
1,-0.6763811,69.5,25.4697,16,2,108
47,0.0687062,69.5,25.4697,12.5,2,80
4,-0.3002293,73.5,27.97816,18,2,77
0,-0.6884917,69.5,25.4697,12.5,2,93
8,0.4909492,73.5,21.47161,16,1,108
13,0.1178116,69.5,26.92511,16,2,80
0,-0.7430681,71.5,22.68962,12,2,59
1,-0.3037021,69.5,24.01428,16,1,108
12,0.4401414,69.5,25.4697,16,3,108
19,0.3307446,69.5,32.74675,16,2,108
